number,key,type,title,description,elementCount,relationshipOrStepCount,svg,png
1,C1-01-Landscape,systemLandscape,C1.01 — Ландшафт системи психіатричних сценаріїв,"Слайдове подання ландшафту платформи, мультидисциплінарних клінічних ролей і зовнішньої цифрової екосистеми.",23,22,previews/svg/C1-01-Landscape.svg,previews/png/C1-01-Landscape.png
2,C1-02-PlatformContext,systemContext,C1.02 — Системний контекст платформи,Повний системний контекст платформи та її зовнішніх залежностей.,21,20,previews/svg/C1-02-PlatformContext.svg,previews/png/C1-02-PlatformContext.png
3,C1-03-PatientContext,systemContext,C1.03 — Контекст ШІ-асистента пацієнта,"Компактний контекст взаємодії пацієнта і лікаря: скринінг, вимірювання, адаптивна комунікація, підготовка до консультації та маршрутизація.",10,9,previews/svg/C1-03-PatientContext.svg,previews/png/C1-03-PatientContext.png
4,C1-04-ClinicianContext,systemContext,C1.04 — Контекст ШІ-асистента медичного працівника,"Слайдове подання мультидисциплінарного клінічного контуру: структурування даних, протоколи, ризики, мультимодальний аналіз і траєкторія пацієнта.",18,17,previews/svg/C1-04-ClinicianContext.svg,previews/png/C1-04-ClinicianContext.png
5,C1-05-AlgorithmLifecycleContext,systemContext,C1.05 — Контекст формалізації та керування алгоритмами,Контекст життєвого циклу клінічних алгоритмів — від проєктного документа до перевіреної опублікованої версії.,9,8,previews/svg/C1-05-AlgorithmLifecycleContext.svg,previews/png/C1-05-AlgorithmLifecycleContext.png
6,C2-01-PlatformContainers,container,C2.01 — Контейнери програмної платформи,"Повне контейнерне подання платформи з розподілом на інтерфейси, доменні сервіси, інтеграції та сховища.",42,79,previews/svg/C2-01-PlatformContainers.svg,previews/png/C2-01-PlatformContainers.png
7,C2-02-PatientPath,container,C2.02 — Контейнери пацієнтського контуру,"Фокус на наскрізному пацієнтському контурі та каналах текст, голос, відео, аватар, VR і голос-в-текст.",23,34,previews/svg/C2-02-PatientPath.svg,previews/png/C2-02-PatientPath.png
8,C2-03-ClinicianPath,container,C2.03 — Контейнери контуру медичного працівника,"Фокус на структурованому огляді, ризиках, протоколах, результатах вимірювань, поясненні та клінічному підтвердженні.",24,39,previews/svg/C2-03-ClinicianPath.svg,previews/png/C2-03-ClinicianPath.png
9,C2-04-AlgorithmLifecycle,container,C2.04 — Життєвий цикл алгоритмів,"Контейнери проєктування, перевірки, публікації, виконання та відкликання універсальних визначень алгоритмів.",16,18,previews/svg/C2-04-AlgorithmLifecycle.svg,previews/png/C2-04-AlgorithmLifecycle.png
10,C2-05-DataIntegration,container,C2.05 — Дані та зовнішні інтеграції,"Потоки клінічних, мультимодальних, інтеграційних, аудиторських та аналітичних даних.",29,54,previews/svg/C2-05-DataIntegration.svg,previews/png/C2-05-DataIntegration.png
11,C2-06-SafetyGovernance,container,"C2.06 — Безпека, клінічне керування та аудит","Архітектурні механізми клінічної безпеки, приватності, контролю людиною, відтворюваності й аудиту.",24,39,previews/svg/C2-06-SafetyGovernance.svg,previews/png/C2-06-SafetyGovernance.png
12,C3-01-PatientApp,component,C3.01 — Компоненти застосунку пацієнта,Компоненти пацієнтського застосунку та їхні точки взаємодії з платформою.,14,9,previews/svg/C3-01-PatientApp.svg,previews/png/C3-01-PatientApp.png
13,C3-02-ClinicianApp,component,C3.02 — Компоненти кабінету медичного працівника,"Компоненти кабінету медичного працівника з окремим контролем ризиків, пояснень і підтвердження.",14,8,previews/svg/C3-02-ClinicianApp.svg,previews/png/C3-02-ClinicianApp.png
14,C3-03-AlgorithmStudio,component,C3.03 — Компоненти студії алгоритмів,Компоненти формалізації та керування життєвим циклом алгоритму.,12,11,previews/svg/C3-03-AlgorithmStudio.svg,previews/png/C3-03-AlgorithmStudio.png
15,C3-04-ApiGateway,component,C3.04 — Компоненти API-шлюзу,"Компоненти контрольованого входу, перевірки токенів, квот, контрактів і маршрутизації.",15,25,previews/svg/C3-04-ApiGateway.svg,previews/png/C3-04-ApiGateway.png
16,C3-05-IdentityConsent,component,"C3.05 — Компоненти ідентичності, доступу та згод","Компоненти федеративної ідентичності, атрибутної авторизації, згод і сесійних токенів.",9,6,previews/svg/C3-05-IdentityConsent.svg,previews/png/C3-05-IdentityConsent.png
17,C3-06-InteractionOrchestrator,component,C3.06 — Компоненти оркестратора взаємодії,"Компоненти сесії, діалогового стану, контексту, каналів і адаптивної комунікації.",14,20,previews/svg/C3-06-InteractionOrchestrator.svg,previews/png/C3-06-InteractionOrchestrator.png
18,C3-07-ScenarioEngine,component,C3.07 — Компоненти детермінованого рушія сценаріїв,Компоненти універсального детермінованого виконання клінічного сценарію.,17,23,previews/svg/C3-07-ScenarioEngine.svg,previews/png/C3-07-ScenarioEngine.png
19,C3-08-ClinicalDecisionSupport,component,C3.08 — Компоненти підтримки клінічних рішень,"Компоненти нормалізації, агрегації ризику, підбору протоколу, траєкторії, пояснення та клінічного контролю.",14,15,previews/svg/C3-08-ClinicalDecisionSupport.svg,previews/png/C3-08-ClinicalDecisionSupport.png
20,C3-09-AIOrchestrator,component,C3.09 — Компоненти оркестратора ШІ та запобіжників,Компоненти безпечного застосування генеративних і спеціалізованих моделей ШІ.,13,14,previews/svg/C3-09-AIOrchestrator.svg,previews/png/C3-09-AIOrchestrator.png
21,C3-10-MeasurementService,component,C3.10 — Компоненти мультимодальних вимірювань,"Компоненти приймання, контролю якості, аналізу та нормалізації мультимодальних вимірювань.",15,17,previews/svg/C3-10-MeasurementService.svg,previews/png/C3-10-MeasurementService.png
22,C3-11-Scheduler,component,"C3.11 — Компоненти завдань, нагадувань та ескалацій","Компоненти планування завдань, нагадувань, SLA ескалації та надійних повторів.",10,14,previews/svg/C3-11-Scheduler.svg,previews/png/C3-11-Scheduler.png
23,C3-12-IntegrationGateway,component,C3.12 — Компоненти інтеграційного шлюзу,"Компоненти FHIR/DICOM-обміну, термінологій, повідомлень, календаря, телемедицини та приватності.",20,13,previews/svg/C3-12-IntegrationGateway.svg,previews/png/C3-12-IntegrationGateway.png
24,C3-13-AuditObservability,component,C3.13 — Компоненти аудиту та спостережуваності,"Компоненти незмінного аудиту, походження, безпекового моніторингу, звітності та очищеної телеметрії.",8,6,previews/svg/C3-13-AuditObservability.svg,previews/png/C3-13-AuditObservability.png
25,L4-01-AlgorithmDefinition,custom,L4.01 — Контракт визначення універсального алгоритму,Логічна структура версійованого формального визначення алгоритму.,15,19,previews/svg/L4-01-AlgorithmDefinition.svg,previews/png/L4-01-AlgorithmDefinition.png
26,L4-02-ScenarioSession,custom,L4.02 — Агрегат виконання сценарію,"Логічна структура сесії, результатів, ризиків, клінічного підтвердження й аудиту.",13,13,previews/svg/L4-02-ScenarioSession.svg,previews/png/L4-02-ScenarioSession.png
27,DYN-01-UniversalPatientScenario,dynamic,DYN.01 — Універсальний сценарій взаємодії з пацієнтом,Універсальний наскрізний процес виконання будь-якого формалізованого психіатричного сценарію.,13,12,previews/svg/DYN-01-UniversalPatientScenario.svg,previews/png/DYN-01-UniversalPatientScenario.png
28,DYN-02-OnboardingConsent,dynamic,"DYN.02 — Вхід, доступ та інформована згода","Створення профілю сесії, автентифікація, інформування та фіксація згод.",7,7,previews/svg/DYN-02-OnboardingConsent.svg,previews/png/DYN-02-OnboardingConsent.png
29,DYN-03-ComplaintsAdaptiveCommunication,dynamic,DYN.03 — Збір скарг і адаптивна комунікація,Збір скарг і потреб із адаптацією каналу та стилю без зміни клінічного змісту.,8,7,previews/svg/DYN-03-ComplaintsAdaptiveCommunication.svg,previews/png/DYN-03-ComplaintsAdaptiveCommunication.png
30,DYN-04-QuestionnaireScoring,dynamic,"DYN.04 — Опитувальник, розгалуження та обчислення балів","Внутрішній детермінований процес виконання опитувальника, розгалуження, оцінювання та формування результату.",14,13,previews/svg/DYN-04-QuestionnaireScoring.svg,previews/png/DYN-04-QuestionnaireScoring.png
31,DYN-05-RedFlagCrisis,dynamic,DYN.05 — Червоний прапорець і кризове реагування,"Негайне виявлення, ескалація, підтвердження отримання та резервний кризовий маршрут.",12,11,previews/svg/DYN-05-RedFlagCrisis.svg,previews/png/DYN-05-RedFlagCrisis.png
32,DYN-06-MultimodalMeasurement,dynamic,DYN.06 — Мультимодальне вимірювання та контроль якості,"Контрольований конвеєр ЕКГ, голосу, відео та медичних зображень.",12,14,previews/svg/DYN-06-MultimodalMeasurement.svg,previews/png/DYN-06-MultimodalMeasurement.png
33,DYN-07-SafeAIResponse,dynamic,DYN.07 — Безпечне формування відповіді ШІ,"Формування допоміжної ШІ-відповіді з мінімізацією даних, RAG, перевіркою структури та контролем людиною.",11,12,previews/svg/DYN-07-SafeAIResponse.svg,previews/png/DYN-07-SafeAIResponse.png
34,DYN-08-ClinicianReviewTrajectory,dynamic,DYN.08 — Клінічний перегляд і траєкторія пацієнта,"Огляд медичним працівником, пояснення, коригування та підтвердження траєкторії.",8,7,previews/svg/DYN-08-ClinicianReviewTrajectory.svg,previews/png/DYN-08-ClinicianReviewTrajectory.png
35,DYN-09-VisitPreparationRouting,dynamic,DYN.09 — Підготовка до візиту та маршрутизація,Підготовка пацієнта до візиту та маршрутизація до відповідного фахівця.,9,8,previews/svg/DYN-09-VisitPreparationRouting.svg,previews/png/DYN-09-VisitPreparationRouting.png
36,DYN-10-FollowUpReminders,dynamic,DYN.10 — Повторний супровід і нагадування,"Плановий супровід, повторні опитування, вимірювання й контроль прострочених дій.",10,9,previews/svg/DYN-10-FollowUpReminders.svg,previews/png/DYN-10-FollowUpReminders.png
37,DYN-11-AlgorithmPublishing,dynamic,"DYN.11 — Формалізація, тестування та публікація алгоритму","Перетворення вихідного документа на перевірену, погоджену та опубліковану версію алгоритму.",11,10,previews/svg/DYN-11-AlgorithmPublishing.svg,previews/png/DYN-11-AlgorithmPublishing.png
38,DYN-12-FhirEhrSync,dynamic,DYN.12 — Обмін із МІС / EHR через FHIR,Контрольований обмін структурованими клінічними даними з МІС/EHR.,7,6,previews/svg/DYN-12-FhirEhrSync.svg,previews/png/DYN-12-FhirEhrSync.png
39,DYN-13-PauseResume,dynamic,DYN.13 — Призупинення та відновлення сесії,Безпечне призупинення та відновлення незавершеної сесії без втрати версії алгоритму й контексту.,10,12,previews/svg/DYN-13-PauseResume.svg,previews/png/DYN-13-PauseResume.png
40,C4-01-ProductionDeployment,deployment,C4.01 — Виробниче гібридне розгортання,"Виробниче гібридне розгортання з DMZ, прикладним кластером, приватним кластером даних, моніторингом і зовнішніми сервісами.",48,9,previews/svg/C4-01-ProductionDeployment.svg,previews/png/C4-01-ProductionDeployment.png
41,C4-02-OfflineClinicDeployment,deployment,C4.02 — Локальний контур закладу з обмеженим зв'язком,Локальний edge-контур закладу для критичних функцій при обмеженому або нестабільному зовнішньому зв'язку.,26,2,previews/svg/C4-02-OfflineClinicDeployment.svg,previews/png/C4-02-OfflineClinicDeployment.png
